active_cust,income,expenditure,months_on_network,Num_complaints,number_plan_changes,relocated,monthly_bill,technical_issues_per_month,Speed_test_result
0,1586,1268.8,85,4,1,0,121,4,85
0,1581,1264.8,85,4,1,0,133,4,85
0,1594,1275.2,82,4,1,0,118,4,85
0,1594,1275.2,82,4,1,0,123,4,85
1,1609,1287.2,80,4,1,0,177,4,85
1,1601,1280.8,80,4,1,0,31,4,85
1,1598,1278.4,81,4,1,0,126,4,85
1,1597,1277.6,81,4,1,0,30,4,85
1,1604,1283.2,81,4,1,0,49,4,85
1,1605,1284,81,4,1,0,35,4,85
1,1608,1286.4,81,4,1,0,34,4,85
1,1612,1289.6,80,4,1,0,46,4,85
0,1625,1300,78,4,1,0,37,4,85
1,1610,1288,80,4,1,0,47,4,85
1,1619,1295.2,78,4,1,0,78,4,85
1,1626,1300.8,77,4,1,0,37,4,85
1,1626,1300.8,77,4,1,0,178,4,85
1,1628,1302.4,77,4,1,0,125,4,85
1,1633,1306.4,77,4,1,0,125,4,85
1,1634,1307.2,76,4,1,0,39,4,85
1,1637,1309.6,75,4,1,0,40,4,85
1,1623,1298.4,78,4,1,0,42,4,85
1,1626,1300.8,77,4,1,0,43,4,85
1,1627,1301.6,77,4,1,0,126,4,85
1,1623,1298.4,78,4,1,0,81,4,85
1,1609,1287.2,79,4,1,0,33,4,85
1,1610,1288,79,4,1,0,82,4,85
1,1632,1305.6,77,4,1,0,118,4,85
1,1634,1307.2,77,4,1,0,123,4,85
0,1618,1294.4,79,4,1,0,33,4,85
0,1600,1280,82,4,1,0,130,4,85
0,1591,1272.8,83,4,1,0,178,4,85
1,1601,1280.8,81,4,1,0,85,4,85
1,1607,1285.6,81,4,1,0,82,4,85
0,1594,1275.2,83,4,1,0,125,4,85
1,1590,1272,83,4,1,0,82,4,85
1,1578,1262.4,86,4,1,0,93,4,85
1,1576,1260.8,86,4,1,0,89,4,85
1,1589,1271.2,83,4,1,0,178,4,85
1,1593,1274.4,83,4,1,0,93,4,85
1,1563,1250.4,88,4,1,0,39,4,85
1,1562,1249.6,87,4,1,0,40,4,85
1,1580,1264,85,4,1,0,34,4,85
1,1559,1247.2,88,4,1,0,32,4,85
1,1566,1252.8,88,4,1,0,48,4,85
1,1566,1252.8,87,4,1,0,40,4,85
1,1569,1255.2,87,4,1,0,33,4,85
1,1573,1258.4,86,4,1,0,44,4,85
1,1584,1267.2,85,4,1,0,33,4,85
1,1622,1297.6,78,4,1,0,49,4,85
1,1634,1307.2,77,4,1,0,45,4,85
1,1618,1294.4,78,4,1,0,40,4,85
1,1625,1300,77,4,1,0,42,4,85
0,1648,1318.4,74,4,1,0,48,4,85
0,1657,1325.6,73,4,1,0,128,4,85
0,1650,1320,73,4,1,0,165,4,85
1,1644,1315.2,75,4,1,0,89,4,85
1,1639,1311.2,76,4,1,0,164,4,85
1,1641,1312.8,76,4,1,0,163,4,85
1,1637,1309.6,75,4,1,0,158,4,85
1,1604,1283.2,81,4,1,0,166,4,85
1,1609,1287.2,81,4,1,0,175,4,85
1,1603,1282.4,81,4,1,0,171,4,85
1,1601,1280.8,80,4,1,0,177,4,85
1,1602,1281.6,82,4,1,0,169,4,85
1,1595,1276,82,4,1,0,175,4,85
1,1593,1274.4,82,4,1,0,169,4,85
1,1594,1275.2,84,4,1,0,178,4,85
1,1593,1274.4,83,4,1,0,165,4,85
1,1592,1273.6,83,4,1,0,43,4,85
1,1585,1268,83,4,1,0,32,4,85
1,1592,1273.6,83,4,1,0,39,4,85
1,1634,1307.2,76,4,1,1,43,4,85
1,1629,1303.2,76,4,1,1,33,4,85
1,1702,1361.6,66,4,1,0,36,4,85
1,1742,1393.6,62,4,1,0,76,4,85
1,1737,1389.6,63,4,1,0,174,4,85
1,1730,1384,63,4,1,0,50,4,85
1,1713,1370.4,65,4,1,0,50,4,85
1,1666,1332.8,72,4,1,0,180,4,85
1,1647,1317.6,73,4,1,0,82,4,85
1,1624,1299.2,77,4,1,0,78,4,85
1,1629,1303.2,76,4,1,0,132,4,85
1,1614,1291.2,79,4,1,0,40,4,85
1,1610,1288,80,4,1,0,46,4,85
1,1610,1288,80,4,1,0,80,4,85
1,1611,1288.8,80,4,1,0,86,4,85
1,1613,1290.4,80,4,1,0,93,4,85
1,1597,1277.6,81,4,1,0,86,4,85
1,1594,1275.2,82,4,1,0,80,4,85
1,1599,1279.2,82,4,1,0,76,4,85
1,1594,1275.2,83,4,1,0,82,4,85
1,1594,1275.2,82,4,1,0,80,4,85
1,1596,1276.8,83,4,1,0,87,4,85
1,1588,1270.4,83,4,1,0,93,4,85
1,1639,1311.2,75,4,1,0,94,4,85
1,1661,1328.8,72,4,1,0,88,4,85
1,1661,1328.8,73,4,1,0,92,4,85
1,1662,1329.6,72,4,1,0,82,4,85
1,1649,1319.2,73,4,1,0,86,4,85
1,1705,1364,66,4,1,0,36,4,85
1,1661,1328.8,72,4,1,0,128,4,85
1,1647,1317.6,73,4,1,0,45,4,85
1,1652,1321.6,73,4,1,0,36,4,85
1,1604,1283.2,80,4,1,0,43,4,85
1,1607,1285.6,81,4,1,0,39,4,85
1,1607,1285.6,80,4,1,0,40,4,85
1,1606,1284.8,79,4,1,0,48,4,85
0,1610,1288,80,4,1,0,38,4,85
0,1607,1285.6,80,4,1,0,47,4,85
1,1610,1288,80,4,1,0,35,4,85
0,1636,1308.8,75,4,1,0,89,4,85
0,1636,1308.8,76,4,1,0,34,4,85
1,1629,1303.2,76,4,1,0,52,4,85
1,1621,1296.8,78,4,1,0,49,4,85
1,1616,1292.8,78,4,1,0,42,4,85
1,1633,1306.4,76,4,1,0,44,4,85
1,1678,1342.4,70,4,1,0,79,4,85
1,1640,1312,75,4,1,0,88,4,85
1,1637,1309.6,75,4,1,0,130,4,85
1,1649,1319.2,74,4,1,0,34,4,85
1,1642,1313.6,74,4,1,0,87,4,85
1,1622,1297.6,78,4,1,0,131,4,85
1,1625,1300,77,4,1,0,44,4,85
1,1607,1285.6,81,4,1,0,119,4,85
1,1605,1284,81,4,1,0,42,4,85
1,1605,1284,80,4,1,0,179,4,85
1,1617,1293.6,78,4,1,0,177,4,85
1,1606,1284.8,80,4,1,0,177,4,85
1,1623,1298.4,78,4,1,0,168,4,85
1,1614,1291.2,78,4,1,0,180,4,85
0,1620,1296,79,4,1,0,167,4,85
0,1643,1314.4,75,4,1,0,179,4,85
1,1638,1310.4,75,4,1,0,165,4,85
1,1622,1297.6,78,4,1,0,180,4,85
1,1626,1300.8,78,4,1,0,164,4,85
1,1622,1297.6,78,4,1,0,170,4,85
1,1620,1296,78,4,1,0,178,4,85
1,1613,1290.4,79,4,1,0,171,4,85
1,1627,1301.6,78,4,1,0,161,4,85
1,1626,1300.8,77,4,1,0,180,4,85
1,1625,1300,78,4,1,0,170,4,85
1,1616,1292.8,79,4,1,0,76,4,85
0,1615,1292,79,4,1,0,168,4,85
1,1613,1290.4,79,4,1,0,51,4,85
1,1631,1304.8,76,4,1,0,38,4,85
1,1625,1300,76,4,1,0,46,4,85
1,1630,1304,77,4,1,0,136,4,85
1,1634,1307.2,76,4,1,0,121,4,85
1,1628,1302.4,76,4,1,0,130,4,85
1,1617,1293.6,79,4,1,0,128,4,85
1,1602,1281.6,81,4,1,0,138,4,85
1,1613,1290.4,79,4,1,0,118,4,85
0,1624,1299.2,78,4,1,0,128,4,85
0,1587,1269.6,83,4,1,0,130,4,85
0,1608,1286.4,81,4,1,0,127,4,85
0,1605,1284,80,4,1,0,128,4,85
1,1604,1283.2,81,4,1,0,120,4,85
1,1615,1292,79,4,1,0,128,4,85
1,1616,1292.8,79,4,1,0,122,4,85
1,1638,1310.4,75,4,1,0,118,4,85
0,1626,1300.8,77,4,1,0,125,4,85
0,1630,1304,77,4,1,0,128,4,85
1,1626,1300.8,78,4,1,0,119,4,85
1,1622,1297.6,78,4,1,0,120,4,85
1,1620,1296,77,4,1,0,127,4,85
1,1623,1298.4,78,4,1,0,123,4,85
1,1626,1300.8,78,4,1,0,137,4,85
1,1619,1295.2,78,4,1,0,126,4,85
1,1618,1294.4,77,4,1,0,126,4,85
1,1571,1256.8,86,4,1,0,123,4,85
1,1589,1271.2,82,4,1,0,133,4,85
1,1595,1276,83,4,1,0,125,4,85
1,1595,1276,82,4,1,0,137,4,85
1,1609,1287.2,80,4,1,0,127,4,85
1,1635,1308,76,4,1,0,119,4,85
1,1690,1352,68,4,1,0,134,4,85
1,1687,1349.6,69,4,1,0,125,4,85
1,1902,1521.6,48,4,1,0,132,4,85
1,1831,1464.8,53,4,1,0,130,4,85
1,1834,1467.2,53,4,1,0,137,4,85
1,1785,1428,58,4,1,0,134,4,85
1,1779,1423.2,58,4,1,0,130,4,85
1,1742,1393.6,62,4,1,0,168,4,85
1,1743,1394.4,62,4,1,0,125,4,85
1,1675,1340,69,4,1,0,136,4,85
1,1661,1328.8,72,4,1,0,127,4,85
1,1662,1329.6,72,4,1,0,119,4,85
1,1609,1287.2,80,4,1,0,133,4,85
1,1617,1293.6,78,4,1,0,129,4,85
1,1617,1293.6,78,4,1,0,81,4,85
1,1596,1276.8,82,4,1,0,122,4,85
1,1620,1296,78,4,1,0,41,4,85
1,1619,1295.2,78,4,1,0,49,4,85
1,1617,1293.6,77,4,1,0,38,4,85
0,1647,1317.6,74,4,3,1,49,4,85
0,1670,1336,72,4,3,1,35,4,85
0,1635,1308,75,4,3,1,42,4,85
0,1641,1312.8,75,4,3,1,40,4,85
1,1643,1314.4,74,4,1,0,48,4,85
1,1653,1322.4,73,4,1,0,36,4,85
1,1649,1319.2,74,4,1,0,52,4,85
1,1672,1337.6,71,4,1,0,34,4,85
1,1673,1338.4,70,4,1,0,48,4,85
1,1642,1313.6,76,4,1,0,48,4,85
1,1636,1308.8,76,4,1,0,42,4,85
1,1606,1284.8,80,4,1,0,35,4,85
1,1617,1293.6,78,4,1,0,39,4,85
1,1602,1281.6,81,4,1,0,43,4,86
1,1603,1282.4,81,4,1,0,41,4,86
1,1604,1283.2,81,4,1,0,34,4,86
1,1605,1284,81,4,1,0,43,4,86
1,1604,1283.2,81,4,1,0,30,4,86
1,1597,1277.6,82,4,1,0,118,4,85
1,1610,1288,80,4,1,0,43,4,85
1,1609,1287.2,80,4,1,0,41,4,85
1,1623,1298.4,78,4,1,0,49,4,85
0,1666,1332.8,72,4,3,1,123,4,86
0,1665,1332,71,4,3,1,87,4,86
0,1681,1344.8,70,4,3,1,90,4,86
0,1677,1341.6,69,4,3,1,78,4,86
0,1698,1358.4,67,4,3,1,88,4,86
0,1702,1361.6,67,4,3,1,73,4,86
0,1696,1356.8,67,4,3,1,77,4,86
0,1674,1339.2,70,4,3,1,83,4,86
1,1700,1360,67,4,2,0,43,4,86
1,1694,1355.2,67,4,2,0,37,4,86
1,1696,1356.8,67,4,2,0,38,4,86
1,1700,1360,67,4,2,0,36,4,86
1,1700,1360,67,4,2,0,120,4,86
1,1676,1340.8,70,4,2,0,90,4,86
1,1669,1335.2,70,4,2,0,73,4,86
1,1670,1336,71,4,2,0,44,4,86
1,1676,1340.8,70,4,2,0,40,4,86
1,1676,1340.8,71,4,2,0,73,4,86
1,1682,1345.6,69,4,2,0,80,4,86
1,1689,1351.2,68,4,2,0,176,4,86
1,1689,1351.2,68,4,2,0,168,4,86
1,1690,1352,68,4,2,0,175,4,86
1,1706,1364.8,66,4,2,0,158,4,86
1,1701,1360.8,67,4,2,0,166,4,86
1,1700,1360,67,4,2,0,176,4,86
1,1721,1376.8,65,4,2,0,172,4,86
1,1718,1374.4,65,4,2,0,172,4,86
1,1722,1377.6,64,4,2,0,178,4,86
0,1720,1376,64,4,2,0,84,4,86
1,1695,1356,67,4,2,0,82,4,86
1,1694,1355.2,69,4,2,0,95,4,86
0,1670,1336,70,4,2,0,84,4,86
1,1669,1335.2,72,4,2,0,77,4,86
1,1661,1328.8,71,4,2,0,82,4,86
1,1657,1325.6,72,4,2,0,124,4,86
1,1660,1328,72,4,2,0,122,4,86
1,1661,1328.8,72,4,2,0,85,4,86
1,1671,1336.8,70,4,2,0,92,4,86
1,1672,1337.6,71,4,2,0,158,4,86
1,1726,1380.8,64,4,2,0,36,4,86
1,1733,1386.4,63,4,2,0,84,4,86
1,1689,1351.2,69,4,2,0,87,4,86
1,1694,1355.2,68,4,2,0,90,4,86
1,1688,1350.4,68,4,2,0,173,4,86
1,1683,1346.4,69,4,2,0,38,4,86
1,1685,1348,69,4,2,0,30,4,86
1,1702,1361.6,68,4,2,0,163,4,86
1,1674,1339.2,71,4,2,0,171,4,86
1,1641,1312.8,74,4,2,0,162,4,86
1,1649,1319.2,74,4,2,0,173,4,86
1,1644,1315.2,75,4,2,0,161,4,86
1,1653,1322.4,73,4,2,0,39,4,86
0,1654,1323.2,74,4,2,0,165,4,86
1,1671,1336.8,71,4,2,0,172,4,86
1,1666,1332.8,71,4,2,0,175,4,86
1,1681,1344.8,70,4,2,0,163,4,86
1,1693,1354.4,67,4,2,0,168,4,86
1,1667,1333.6,72,4,2,0,167,4,86
1,1668,1334.4,71,4,2,0,118,4,87
1,1659,1327.2,73,4,2,0,39,4,87
1,1667,1333.6,71,4,0,0,37,4,87
1,1682,1345.6,70,4,0,0,82,4,87
1,1674,1339.2,70,4,0,0,123,4,87
